"year","state","name","pop","chrstprotpct","chrstcatpct","chrstorthpct","chrstangpct","chrstothrpct","chrstgenpct","judorthpct","judconspct","judrefpct","judothrpct","judgenpct","islmsunpct","islmshipct","islmibdpct","islmnatpct","islmalwpct","islmahmpct","islmothrpct","islmgenpct","budmahpct","budthrpct","budothrpct","budgenpct","zorogenpct","hindgenpct","sikhgenpct","shntgenpct","bahgenpct","taogenpct","jaingenpct","confgenpct","syncgenpct","anmgenpct","nonreligpct","othrgenpct","sumreligpct","total","dualrelig","datatype","sourcereliab","recreliab","reliabilevel","Version","sourcecode"
1945,2,"USA",139928000,0.4722,0.2767,0.008,0.0172,0.014,0.788,0.0059,0.0098,0.0136,0.0039,0.0332,0,0,0,0,0,0,0,0,0,0,0.0114,0.0114,0,0,0,0,0,0,0,0,0,0,0.1635,0.0039,0.9961,1,0,34,2,10,"Medium",1.1,13
1950,2,"USA",152271008,0.48,0.28,0.02,0.02,0.0077,0.8077,0.0071,0.0118,0.0164,0.0048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1482,0.0041,0.9959,1,0,34,6,28,"Low",1.1,18
1955,2,"USA",165931000,0.4779,0.2796,0.0208,0.0155,0.0137,0.8076,0.0057,0.0094,0.0132,0.0038,0.0321,0,0,0,0,0,0,0,0,0,0,5e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0.1404,0.0193,0.9807,0.9999,0,134,5,10,"Medium",1.1,15
1960,2,"USA",180671000,0.502,0.28,0.0185,0.015,0.0161,0.8315,0.0054,0.0089,0.0125,0.0036,0.0304,0,0,0,0,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0,0.1193,0.0076,0.9924,0.9999,0,134,2,10,"Medium",1.1,13
1965,2,"USA",194631000,0.4838,0.3327,0.0246,0.0145,0.005,0.8607,0.0051,0.0085,0.0118,0.0034,0.0288,0,0,0,0,0,0,0,0,0,0,0.0056,0.0056,0,0,0,0,0,0,0,0,0,0,0.102,0.003,0.997,1.0001,0,134,8,28,"Low",1.1,20
1970,2,"USA",200706000,0.4679,0.3444,0.0274,0.0151,0.0065,0.8613,0.0054,0.009,0.0126,0.0036,0.0306,0,0,0,0,0,0,0,0,0,0,0.0055,0.0055,0,0,0,0,4e-04,0,0,0,0,0,0.102,1e-04,0.9999,0.9999,0,134,4,10,"Medium",1.1,7
1975,2,"USA",215943000,0.4334,0.3574,0.0308,0.015,0.01,0.8466,0.0055,0.0091,0.0127,0.0037,0.031,0,0,0,0,0,0,0,0,0,0,0.0047,0.0047,0,7e-04,0,0,0.001,0,0,0,0,0,0.1148,0.0011,0.9989,0.9999,0,99,99,35,"Low",1.1,99
1980,2,"USA",227726000,0.4445,0.33,0.0205,0.0157,0.0089,0.8196,0.0056,0.0094,0.0131,0.0038,0.0319,0.0106,0.0011,0,0,0,0,0,0.0117,0,0,0.006,0.006,0,0.0044,0,0,0,4e-04,0,0,0,3e-04,0.1177,0.0081,0.9919,1.0001,0,24,4,5,"Medium",1.1,7
1985,2,"USA",238466000,0.45,0.3458,0.022,0.015,0.005,0.8378,0.0057,0.009,0.0131,0.0037,0.0315,0.0092,0.0013,0,0,0,0,0,0.0104,0,0,0.0083,0.0083,0,0.0042,0,0,0,0,0,0,0,0,0.1065,0.0012,0.9988,0.9999,0,34,2,10,"Medium",1.1,13
1990,2,"USA",249907000,0.5284,0.2622,0.0269,0.0173,0.0232,0.858,0.0039,0.0065,0.009,0.0026,0.022,0.0081,0.0011,0,0,0,0,0,0.0092,0,0,0.0063,0.0063,2e-04,0.0013,1e-04,2e-04,0.0036,4e-04,0,0,0,3e-04,0.0977,6e-04,0.9994,0.9999,0,24,4,7,"High",1.1,25
