Entity,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
Afghanistan,4.0,6.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0
Albania,6.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0
Algeria,5.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0
Angola,1.0,1.0,6.0,6.0,4.0,3.0,3.0,4.0,4.0,4.0
Argentina,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Armenia,6.0,6.0,5.0,5.0,5.0,5.0,4.0,9.0,9.0,9.0
Azerbaijan,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
Bahrain,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
Bangladesh,7.0,7.0,8.0,8.0,8.0,6.0,5.0,4.0,4.0,2.0
Belarus,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
Benin,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,6.0,5.0
Bhutan,,4.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
Bolivia,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Bosnia and Herzegovina,9.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0
Botswana,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
Brazil,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0
Bulgaria,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
Burkina Faso,7.0,7.0,6.0,6.0,6.0,2.0,7.0,7.0,7.0,1.0
Burundi,1.0,8.0,8.0,6.0,7.0,6.0,3.0,3.0,3.0,3.0
Cambodia,5.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0
Cameroon,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Central African Republic,1.0,6.0,6.0,4.0,3.0,1.0,6.0,6.0,5.0,5.0
Chad,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0
Chile,8.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0
China,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Colombia,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0
Congo,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
Costa Rica,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Cote d'Ivoire,4.0,3.0,2.0,4.0,6.0,7.0,7.0,6.0,5.0,5.0
Croatia,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Cuba,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Czechia,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Democratic Republic of Congo,1.0,6.0,6.0,6.0,3.0,3.0,2.0,4.0,4.0,4.0
Djibouti,,,,,,,,4.0,4.0,4.0
Dominican Republic,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
East Timor,,,,,,,,9.0,9.0,9.0
Ecuador,9.0,8.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0
Egypt,3.0,4.0,3.0,3.0,7.0,4.0,3.0,2.0,2.0,2.0
El Salvador,8.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0
Equatorial Guinea,,,,,,,,2.0,2.0,2.0
Eritrea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Estonia,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
Eswatini,,,,,,,,1.0,1.0,1.0
Ethiopia,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0
