"","Entity","Code","2005","2007","2009","2011","2013","2015","2017","2019","2021","2023"
"1","Afghanistan","AFG",4,6,6,3,3,3,3,4,3,1
"2","Albania","ALB",6,8,8,7,6,7,7,7,7,8
"3","Algeria","DZA",5,4,4,4,6,5,5,5,4,4
"4","Angola","AGO",1,1,6,6,4,3,3,4,4,4
"5","Argentina","ARG",10,10,10,9,9,9,9,9,9,9
"6","Armenia","ARM",6,6,5,5,5,5,4,9,9,9
"7","Azerbaijan","AZE",3,3,4,3,3,3,2,2,2,2
"8","Bahrain","BHR",4,3,3,3,3,2,2,2,2,2
"9","Bangladesh","BGD",7,7,8,8,8,6,5,4,4,2
"10","Belarus","BLR",3,2,2,2,2,2,3,3,2,2
"11","Benin","BEN",9,9,9,9,8,8,9,9,6,5
"12","Bhutan","BTN",NA,4,7,7,8,8,8,8,8,8
"13","Bolivia","BOL",9,9,9,9,9,9,9,9,9,9
"14","Bosnia and Herzegovina","BIH",9,9,9,8,8,7,7,6,6,6
"15","Botswana","BWA",9,9,9,9,8,8,8,8,8,8
"16","Brazil","BRA",10,10,10,10,10,10,9,9,9,9
"17","Bulgaria","BGR",10,10,10,9,8,8,8,8,8,8
"18","Burkina Faso","BFA",7,7,6,6,6,2,7,7,7,1
"19","Burundi","BDI",1,8,8,6,7,6,3,3,3,3
"20","Cambodia","KHM",5,5,5,4,4,3,3,2,2,2
"21","Cameroon","CMR",3,3,3,3,3,3,3,3,4,3
"22","Central African Republic","CAF",1,6,6,4,3,1,6,6,5,5
"23","Chad","TCD",3,3,3,3,4,4,3,3,3,1
"24","Chile","CHL",8,9,10,10,9,9,9,10,10,10
"25","China","CHN",1,2,2,1,1,1,1,1,1,1
"26","Colombia","COL",7,6,6,6,6,7,7,7,7,7
"27","Congo","COG",NA,3,3,3,3,3,2,2,2,2
"28","Costa Rica","CRI",10,10,10,10,10,10,10,10,10,10
"29","Cote d'Ivoire","CIV",4,3,2,4,6,7,7,6,5,5
"30","Croatia","HRV",10,10,10,9,9,9,9,9,9,9
"31","Cuba","CUB",1,1,1,1,1,1,1,1,1,1
"32","Czechia","CZE",10,10,10,10,10,10,10,10,10,10
"33","Democratic Republic of Congo","COD",1,6,6,6,3,3,2,4,4,4
"34","Djibouti","DJI",NA,NA,NA,NA,NA,NA,NA,4,4,4
"35","Dominican Republic","DOM",9,9,8,8,7,7,7,7,7,7
"36","East Timor","TLS",NA,NA,NA,NA,NA,NA,NA,9,9,9
"37","Ecuador","ECU",9,8,7,7,6,6,6,8,8,8
"38","Egypt","EGY",3,4,3,3,7,4,3,2,2,2
"39","El Salvador","SLV",8,7,8,8,8,9,9,9,9,9
"40","Equatorial Guinea","GNQ",NA,NA,NA,NA,NA,NA,NA,2,2,2
"41","Eritrea","ERI",1,1,1,1,1,1,1,1,1,1
"42","Estonia","EST",9,9,9,9,10,10,10,10,10,10
"43","Eswatini","SWZ",NA,NA,NA,NA,NA,NA,NA,1,1,1
"44","Ethiopia","ETH",3,4,3,3,2,2,2,4,3,4
"45","Gabon","GAB",NA,NA,NA,NA,NA,NA,NA,4,4,4
"46","Gambia","GMB",NA,NA,NA,NA,NA,NA,NA,7,7,7
"47","Georgia","GEO",9,9,7,8,8,9,9,8,7,7
"48","Ghana","GHA",9,9,8,8,8,8,8,8,8,8
"49","Guatemala","GTM",7,7,8,7,6,6,6,6,6,6
"50","Guinea","GIN",3,3,1,6,5,6,6,6,5,1
"51","Guinea-Bissau","GNB",NA,NA,NA,NA,NA,NA,NA,7,7,6
"52","Haiti","HTI",3,6,6,4,5,5,6,6,4,1
"53","Honduras","HND",9,9,8,7,7,8,6,5,5,7
"54","Hungary","HUN",10,10,10,9,9,7,7,6,6,6
"55","India","IND",7,9,8,9,9,9,9,9,8,7
"56","Indonesia","IDN",9,9,9,9,9,8,8,8,8,8
"57","Iran","IRN",4,5,4,3,3,4,4,3,3,3
"58","Iraq","IRQ",5,6,7,7,7,7,6,6,6,6
"59","Jamaica","JAM",10,10,10,9,9,9,9,9,9,9
"60","Jordan","JOR",4,4,4,4,5,4,5,5,4,4
"61","Kazakhstan","KAZ",3,3,3,3,3,2,2,2,2,2
"62","Kenya","KEN",9,9,6,6,7,8,8,5,5,6
"63","Kosovo","OWID_KOS",NA,NA,9,7,7,7,7,8,9,9
"64","Kuwait","KWT",NA,4,4,4,4,3,4,4,4,4
"65","Kyrgyzstan","KGZ",4,7,4,6,6,6,7,6,6,5
"66","Laos","LAO",1,2,1,1,1,1,1,1,1,1
"67","Latvia","LVA",8,9,9,9,9,9,9,9,9,9
"68","Lebanon","LBN",7,7,7,7,7,6,5,6,6,6
"69","Lesotho","LSO",NA,NA,6,6,8,8,8,8,8,8
"70","Liberia","LBR",1,8,8,8,8,8,8,8,8,8
"71","Libya","LBY",1,2,1,1,8,4,4,3,3,1
"72","Lithuania","LTU",10,10,10,10,9,9,10,10,10,10
"73","Madagascar","MDG",9,8,6,2,2,7,6,7,7,6
"74","Malawi","MWI",7,6,6,6,6,6,6,7,7,7
"75","Malaysia","MYS",5,5,5,5,5,4,4,6,6,7
"76","Mali","MLI",9,9,9,9,3,7,7,7,3,1
"77","Mauritania","MRT",NA,6,2,5,3,3,3,3,4,4
"78","Mauritius","MUS",10,10,9,9,9,9,9,9,8,8
"79","Mexico","MEX",10,8,9,8,7,7,7,7,7,7
"80","Moldova","MDA",7,8,6,7,8,6,6,6,7,8
"81","Mongolia","MNG",6,7,6,6,8,8,8,8,8,8
"82","Montenegro","MNE",NA,9,9,8,8,7,7,6,6,6
"83","Morocco","MAR",4,5,3,3,4,4,3,3,3,3
"84","Mozambique","MOZ",7,8,7,7,7,7,6,6,3,3
"85","Myanmar","MMR",1,1,1,2,4,4,7,7,6,1
"86","Namibia","NAM",9,8,7,7,8,9,9,9,9,9
"87","Nepal","NPL",1,1,7,7,5,7,7,8,8,8
"88","Nicaragua","NIC",8,9,6,6,6,6,5,5,5,2
"89","Niger","NER",9,9,9,9,9,9,7,7,7,6
"90","Nigeria","NGA",6,6,5,5,7,7,7,7,5,5
"91","North Korea","PRK",1,1,1,1,1,1,1,1,1,1
"92","North Macedonia","MKD",9,9,8,8,8,7,7,7,7,7
"93","Oman","OMN",NA,2,3,3,3,2,2,2,2,2
"94","Pakistan","PAK",4,4,6,6,6,6,6,6,6,5
"95","Panama","PAN",10,10,10,9,8,8,8,8,8,8
"96","Papua New Guinea","PNG",7,7,7,7,6,6,6,6,6,5
"97","Paraguay","PRY",8,7,8,8,8,8,8,8,8,8
"98","Peru","PER",9,8,8,9,9,8,7,8,8,8
"99","Philippines","PHL",7,6,6,7,7,7,7,7,7,7
"100","Poland","POL",10,10,10,10,10,10,10,9,7,7
"101","Qatar","QAT",NA,NA,3,2,2,2,2,2,2,3
"102","Romania","ROU",10,10,10,9,8,8,9,9,9,9
"103","Russia","RUS",6,6,6,6,5,4,4,4,4,3
"104","Rwanda","RWA",3,4,3,2,2,2,2,2,2,2
"105","Saudi Arabia","SAU",1,1,1,1,1,1,1,1,1,1
"106","Senegal","SEN",9,8,7,7,8,8,8,7,7,7
"107","Serbia","SRB",9,9,9,9,9,9,8,6,6,6
"108","Sierra Leone","SLE",9,9,8,8,8,8,8,8,8,7
"109","Singapore","SGP",5,5,5,5,5,5,5,5,5,5
"110","Slovakia","SVK",10,10,10,10,10,10,10,10,10,10
"111","Slovenia","SVN",10,10,10,10,10,10,10,10,10,10
"112","Somalia","SOM",1,1,1,1,1,1,1,1,1,1
"113","South Africa","ZAF",10,10,9,8,8,8,8,8,9,9
"114","South Korea","KOR",10,10,10,10,10,9,9,9,9,9
"115","South Sudan","SSD",NA,NA,NA,NA,4,3,1,1,1,1
"116","Sri Lanka","LKA",7,7,6,6,5,6,8,8,8,7
"117","Sudan","SDN",2,1,2,3,3,3,2,2,2,1
"118","Syria","SYR",2,2,3,2,2,2,2,2,2,2
"119","Taiwan","TWN",10,10,10,10,10,10,10,10,10,10
"120","Tajikistan","TJK",3,3,3,3,3,2,1,1,1,1
"121","Tanzania","TZA",7,7,6,7,7,7,6,6,4,4
"122","Thailand","THA",7,2,6,6,6,1,1,1,3,3
"123","Togo","TGO",3,3,5,5,4,4,5,5,5,5
